Topic,Count,Name,theme1,theme2,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,713,35_Happiness_Children_Smile_Life,Utility, Emotional Support,"['happiness', 'children', 'smile', 'life', 'kids', 'fun', 'thoughts', 'fun', 'confidence', 'good']","['If I'm happy, then my child is happy', 'My child is happy', 'My child is happy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,454,36_Let's do our best and be happy,Utility, Emotional Support,"['each other', 'let's do our best', 'do our best', 'happy', 'cute', 'two of us', 'cute', 'life', 'enjoy', 'two']","['Let's both do our best', 'Let's both do our best together', 'Let's both do our best \u3000 It's a good thing']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,593,37. say something,Utility,Socialization,"['say', 'say', 'right', 'say', 'say', 'way of saying', 'well', 'answer', 'say', 'words']","['Seriously, everyone is saying what they want to say', 'Everyone is saying everything they want to say', 'Everyone, say what you want to say']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,455,38_Liberal Democratic Party_Liberal Democratic Party_Government_Election,Population Structure,State Intervention,"['LDP', 'LDP', 'government', 'election', 'opposition party', 'dissolution', 'Komeito', 'Japan Innovation Party', 'legislators', 'Unification Church']","['The LDP is doing a good job', 'Thank you LDP', 'Escape from the LDP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,425,39_Love_Girl_Boy_Len,Utility,Reproduction,"['love', 'girl', 'boy', 'Ren', 'name', 'Yuu', 'love', 'loved', 'beautiful', 'affection']","['Girl Tara Rinka, Boy Tara Rikuto', 'Girl Niji Ai Akia \n Boy Hiyū Yuu', 'Girl Sato Ai \n Boy Yuuto']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,453,40_Cute_Deep_Imaizumi_Because,Utility, Emotional Support,"['cute', 'deep', 'Imaizumi', 'so', 'standing', 'of course', 'beautiful', 'adorable', 'Shambhu', 'Suguru']","['cute', 'cute', 'cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,530,41_chan_eldest_daughter_girl_Choro,Utility,Reproduction,"['chan', 'eldest daughter', 'girl', 'cheol', 'gaze', 'name', 'cold', 'cute', 'san', 'no']","['My daughter is cute', 'My daughter is cute', 'Cute girl']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,400,42_Hair_Hairstyle_Hairdryer_Hair,Utility,Socialization,"['hair', 'hairstyle', 'hairdryer', 'hair', 'growth', 'dye', 'dye', 'beauty', 'bangs', 'hair removal']","['How's your hair?', 'Chan's hair is cute', 'Your hair is kinky lol']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,409,43_Brothers_Handsome_Equal_All,Utility,Reproduction,"['brothers', 'handsome', 'equal shares', 'all', 'bride', 'boy', 'lighter', 'weight', 'birth', 'moonrise']","['All of them are handsome, amazing, all five of them are boys, amazing', 'All of them are boys, all handsome, amazing', 'Five handsome brothers']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,548,44. Your husband has a wonderful way of thinking,Values,Gender Equality,"['husband', 'san', 'nice', 'way of thinking', 'boyfriend', 'flow', 'master', 'Maya', 'teaching', 'no']","['husband', 'husband ω', 'husband']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,382,45_17_16_15_23,Utility,Reproduction,"['17', '16', '15', '23', '18', 'gave birth', 'sister', 'eldest daughter', 'apart', 'mother']","['17 years old, 3rd year of high school, 2nd year of high school', '17 years old', '17 years old, mother']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,951,46_Children_Yourself_Children_Qualifications,Values,Individualism,"['child', 'self', 'children', 'qualifications', 'thoughts', 'responsibility', 'opinion', 'life', 'think', 'raising']","['Yeah, that's normal.\n Only people who think about themselves and devote their lives to their children want to have children.\n It's a luxury, a supreme thing, the world sees one person, life is precious, and they are prepared to raise the child. They think of themselves as a priority, and are selfish. It's annoying to see people bring children. Don't just bring them, raise them.\n Be prepared to devote your whole life to them, and raise them carefully, at least as a parent,', 'While raising children, your husband has a sense of money, and is focused on raising children, and has a peaceful heart, and is responsible for all of the children, and is able to live a secure life, and is able to say that he will try to do his best. He is prepared to say that he wants children, and is an idiot,', 'Myself and my children']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,410,47_Consideration_Lawn_Layered_Plants,,,"['examination', 'lawn', 'layer', 'plant', 'saddle', 'lash', 'throw', 'wrist', 'foliage', 'scatter']","['Various considerations, considerations, repeated considerations, accelerated consideration, careful consideration', 'Consideration, considerations, repeated considerations, results consideration', 'Consideration, considerations, repeated considerations, matters consideration']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,358,48_Birthday_Congratulations_Commemorative_Balloons,,,"['birth', 'congratulations', 'anniversary', 'balloon', 'gozai', 'chan', 'kun', 'Tanaka', 'mei', 'birthday']","['Happy Birthday', 'Happy Birthday', 'Happy Birthday ω']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,433,49_Childcare_Nursery_Kindergarten_Delivery,Childrearing Cost,Public Support,"['Childcare', 'Nursery school', 'Kindergarten', 'Daycare', 'Salary', 'Commuting', 'Waiting', 'Placement', 'Benefits', 'Workplace']","['I want to be a nursery teacher', 'Give me money to be a nursery teacher', 'You think I'm a nursery teacher']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,384,50_Baby_First_Cute_Baby_Hompo,Utility,Reproduction,"['baby', 'first', 'cute', 'akachanhonpo', 'cute', 'baby bus', 'cute', 'help', 'Koike', 'scent']","['baby', 'baby voice', 'baby']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,509,51_Quit_Quit_Stop_Already,Population Structure,State Intervention,"['Quit', 'Quit', 'Stop', 'Already', 'Tahara', 'Quit', 'Too late', 'Farewell', 'It's over', 'Resign']","['Hey, quit', 'Quit, shame', 'Prime Minister, quit quickly']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,396,52_work_overtime_work_work,Childrearing Cost,Economic Uncertainty,"['job', 'overtime', 'work', 'work', 'company', 'work', 'working', 'task', 'labour', 'company']","['job', 'job', 'job']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,371,53_100_1000_annual income_600,Childrearing Cost,Economic Uncertainty,"['100', '1000', 'annual income', '600', '2000', '1200', 'above', 'per', 'about']","['What will Japan be like in 100 years', 'My wife is 100 points', 'I want about 1 million yen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,459,54_Face_cute_and_well_balanced,Utility, Emotional Support,"['face', 'brown', 'cute', 'symmetrical', 'flat', 'adorable', 'bald', 'looks like', 'looks like']","['I'm sure you've blocked me from showing my face on the app. I'll meet you anyway. People who say my face is really weird are targeting the wrong age group', 'She's so cute', 'She's so cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,675,55_Childcare_Childcare_Hard_Working_hard,Utility,Socialization,"['raising a child', 'childcare', 'difficult', 'trying hard', 'suitable', 'support', 'trying hard', 'please', 'support', 'child']","['Raising a daughter is hard', 'Raising a daughter is hard', 'Raising children is hard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,478,56_Respect_Good job_Precious_Everyday,Childrearing Cost,Domestic Labor,"['respect', 'good work', 'precious', 'everyday', 'hard work', 'always', 'amazing', 'touching', 'good work', 'only']","['Great respect', 'Even though it's hard for you to do it alone, I really appreciate your hard work every day', 'I appreciate your hard work']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,436,57_Listen_Dumbledore_listen_listen,,,"['listen', 'Dumbledore', 'listen', 'hear', 'listen', 'radio', 'play', 'talk', 'hang up', 'talk']","['listen to someone', 'listen', 'listen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,343,58_Nail_Mina_Nail Tip_Oil,,,"['Nails', 'Mina', 'Nail tips', 'Oil', 'Change', 'Cute', 'Hair', 'Cute', 'Every time', 'Iron']","['Cute nails', 'Black nails', 'Nails are cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,310,59_14_12_13_Pregnancy,Utility,Reproduction,"['14', '12', '13', 'pregnancy', 'respect', 'amazing', 'birth', 'great', 'George', 'good luck']","['14', 'I'm 14', '14']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,492,60_give birth_give birth_give birth,Utility,Reproduction,"['to give birth', 'to give birth', 'to give birth', 'to give birth', 'to give birth', 'to give birth', 'to give birth', 'to give birth', 'to give birth', 'to give birth']","['The country says ""give birth to children"", but I want people who want to give birth to children to think more about it', 'How should people who want to give birth give birth to children', 'Only those who want to give birth should give birth to children and have good births']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,628,61_I hate it_This is bad,Values,Conflict,"['I hate it', 'No good', 'This is bad', 'I'm not good at it', 'No good', 'Loser', 'Stupid', 'No good', 'Yuck']","['I hate people who hate me, I like them', 'I don't like it, I don't like it', 'I don't like it, I don't like it']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,303,62_Dad_just_now_father_dad,,,"['Dad', 'just now', 'father', 'dad', 'version', 'father', 'ver', 'ver', 'grandfather', 'grandfather']","['Dad', 'Dad', 'Dad-']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,302,63_10_Cash_Next_Monthly,Childrearing Cost,Economic Uncertainty,"['10', 'cash', 'next year', 'monthly', 'birth', 'received', 'months', 'benefit', 'free', '2022']","['10 years later', '100,000', '10 years later']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,367,64_Sleep_Bedhead_Nap_Waking up,,,"['sleep', 'bedhead', 'nap', 'waking up', 'getting up', 'turning over', 'sleepy', 'bed', 'night shift', 'falling']","['Watching this before going to bed at night is soothing', 'You always go to bed at this time', 'You always go to bed at this time']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,422,65_tiktok_comment_hitomin_tamori,,,"['tiktok', 'comment', 'hitomin', 'tamori', 't-shirt', 'tomaoni', 'the ultimate', 'account', 'mixchannel', 'post']","['Kishi-san's brothers TikTok', 'Mei-san's TikTok is my favorite', 'Yes, TikTok comments']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,431,66_Infertility_treatment_contraception_test,Health,Assisted Reproduction,"['infertility', 'treatment', 'contraception', 'test', 'cause', 'infertility', 'insurance', 'coverage', 'want', 'pregnancy']","['Yeah TT, good luck with fertility treatment', 'someone doing fertility treatment please', 'infertility treatment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,338,67 months payment 12/2021,Population Structure,State Intervention,"['months', 'payment', '12', '2021', 'weeks', 'the year after next', 'each', 'next year', 'every', 'start']","['Let's move quickly. Child allowance payments for 16-year-olds will start in February of the year after next.', 'Payment will start in February of the year after next. Not next year.', 'Payment will be in October of next year. February of the year after next is a long way away.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,498,68_Female_Male_Male/Female_Suddenly,Values,Gender Equality,"['female', 'male', 'male and female', 'sudden', 'opinion', 'gender', 'first', 'discrimination', 'condescension', 'noble']","['There are many women who want men, not just women', 'What about women', 'You're more of a woman than that']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,373,69_Non-taxable_household_income_taxable,Population Structure,State Intervention,"['non-taxable', 'household', 'income', 'taxable', 'single', 'resident', 'uniform', 'difficult', 'benefit', 'pay']","['Tax-exempt', 'Tax-exempt household', 'Tax-exempt household']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
